SKU,nombre_limpio,Existencia,Ventas,Popular,variaciones,,,,,,,,
HNA06P106,Helecho Nido De Ave,7,2941,si,maceta negra 6 pulgadas|maceta negra 8 pulgadas,,,,,,,,
HNO06P125,Huele De Noche,3,1678,si,maceta negra 6 pulgadas,,,,,,,,
HOL01L125,Hierba De Olor,106,20586,si,bolsa 1 litros|maceta negra 5 pulgadas,,,,,,,,
HOR08P003,Hortencia,96,4480,si,maceta negra 8 pulgadas|maceta negra 10 pulgadas,,,,,,,,
HOS03P106,Helecho Osaka,18,66,no,maceta negra 3 pulgadas|maceta negra 8 pulgadas,,,,,,,,
HPA10L153,Hamelia Patens,45,262,si,bolsa 10 litros,,,,,,,,
HPE04L077,Helecho Peine,12,11907,si,bolsa 4 litros|bolsa 3 litros,,,,,,,,
HPT08L116,Heliconia Pico De Tucan,32,2186,si,bolsa 8 litros,,,,,,,,
HRU08P006,Hule Rubi,122,175,no,maceta negra 8 pulgadas,,,,,,,,
HRU10P077,Helecho Rufles,6,7,no,maceta negra 10 pulgadas,,,,,,,,
HSL06P106,Helecho Silver Lady,5,1240,si,maceta negra 6 pulgadas,,,,,,,,
HSU10L125,Hiedra Sueca/Inglesa,26,1001,si,bolsa 10 litros,,,,,,,,
HUI18L129,Huizache,2,24,no,bolsa 18 litros,,,,,,,,
HUM01L101,Humiquick,15,72,no,bolsa 1 litros,,,,,,,,
HUV18L010,Hule Cavernet Bonsai,1,4,no,bolsa 18 litros,,,,,,,,
HYP06P109,Hypoeste,67,1735,si,maceta negra 6 pulgadas,,,,,,,,
ICA03L006,Ixora Carla,196,18899,si,bolsa 3 litros,,,,,,,,
IEN03L006,Ixora Enana Surtida-.30,203,11379,si,bolsa 3 litros,,,,,,,,
INS01L125,Insulina,1,169,no,bolsa 1 litros,,,,,,,,
IRE08L006,Ixora Reyna,79,4000,si,bolsa 8 litros,,,,,,,,
IRI06P125,Iris,49,791,si,maceta negra 6 pulgadas,,,,,,,,
JAB20L105,Jaboticabo,7,75,no,bolsa 20 litros|bolsa 18 litros|bolsa 50 litros|bolsa 10 litros|bolsa 40 litros,,,,,,,,
JAC04L077,Jacaranda,1,289,si,bolsa 4 litros|bolsa 2 litros|bolsa 65 litros|bolsa 45 litros|bolsa 60 litros|bolsa 80 litros,,,,,,,,
JAC60L170,Jacaranda Bca,12,44,no,bolsa 60 litros|bolsa 10 litros,,,,,,,,
JAD15L130,Jade,13,60,no,bolsa 15 litros,,,,,,,,
JAR10L009,Jazmin De Arabia,63,384,si,bolsa 10 litros,,,,,,,,
JAR30L125,Jarilla,1,0,no,bolsa 30 litros,,,,,,,,
JAZ20L006,Junipero Azul,4,1060,si,bolsa 20 litros,,,,,,,,
JES04L133,Junipero Sparta,20,0,no,bolsa 4 litros,,,,,,,,
JES08L010,Junipero Estrella,19,1052,si,bolsa 8 litros,,,,,,,,
JGM10L127,Junipero Green Mountain,16,386,si,bolsa 10 litros|maceta negra 12 pulgadas,,,,,,,,
JHE02L164,Jazmin Hembra,79,375,si,bolsa 2 litros,,,,,,,,
JPN03L010,Junipero Procumbens Nana,1,2361,si,bolsa 3 litros|bolsa 4 litros|maceta negra 10 pulgadas|bolsa 8 litros,,,,,,,,
JSJ03L010,Junipero San Jose,106,1160,si,bolsa 3 litros|bolsa 8 litros,,,,,,,,
JTA20L006,Junipero Tapizante,40,1428,si,bolsa 20 litros|bolsa 4 litros|bolsa 45 litros,,,,,,,,
LAF06P170,Lechero Africano,33,62,no,maceta negra 6 pulgadas,,,,,,,,
LAM10L136,Laurel Amarillo,30,0,no,bolsa 10 litros,,,,,,,,
LAN02L077,Lantana,24,35621,si,bolsa 2 litros,,,,,,,,
LAV01L125,Lavanda,11,7080,si,bolsa 1 litros|bolsa 3 litros,,,,,,,,
LBE04L105,Luz De Bengala,46,4619,si,bolsa 4 litros,,,,,,,,
LCH12L120,Lima Chichi,10,374,si,bolsa 12 litros,,,,,,,,
LCO10L120,Limon Colimeño,9,1236,si,bolsa 10 litros|bolsa 20 litros,,,,,,,,
LEU03L009,Leucophilum,33,5057,si,bolsa 3 litros,,,,,,,,
LEU10L120,Limon Eureka,14,333,si,bolsa 10 litros,,,,,,,,
LIC45L152,Lichi,2,6,no,bolsa 45 litros,,,,,,,,
LIM10L013,Lima,38,5,no,bolsa 10 litros,,,,,,,,
LIQ03L006,Liquidambar,4,179,no,bolsa 3 litros,,,,,,,,
LNI01L125,Lagrima De Niño,32,1101,si,bolsa 1 litros,,,,,,,,
LOR08P006,Loropetalo,86,6859,si,maceta negra 8 pulgadas,,,,,,,,
LOR15L116,Lluvia De Oro,1,191,no,bolsa 15 litros|bolsa 18 litros|bolsa 40 litros,,,,,,,,
LOV03P126,Lovery Rose,5,4,no,maceta negra 3 pulgadas,,,,,,,,
LPE06L001,Limon Persa,18,1682,si,bolsa 6 litros|bolsa 3 litros|bolsa 10 litros|bolsa 8 litros|bolsa 20 litros|bolsa 30 litros|bolsa 60 litros|bolsa 12 litros,,,,,,,,
LPE08L009,Lirio Persa Bco,79,508,si,bolsa 8 litros,,,,,,,,
LRE12L120,Limon Real,24,542,si,bolsa 12 litros,,,,,,,,
LRO10P134,Lirio Rojo,2,7,no,maceta negra 10 pulgadas,,,,,,,,
LVE12L136,Laurel Verde,55,6,no,bolsa 12 litros|bolsa 30 litros,,,,,,,,
MAG03L010,Magnolia,49,1439,si,bolsa 3 litros|bolsa 20 litros|bolsa 60 litros|bolsa 80 litros|bolsa 10 litros|bolsa 30 litros,,,,,,,,
MAJ06L153,Majagua,20,604,si,bolsa 6 litros|bolsa 45 litros|bolsa 4 litros|bolsa 15 litros,,,,,,,,
MAM08L115,Mamey,15,38,no,bolsa 8 litros|bolsa 45 litros,,,,,,,,
MAN04L001,Mandevilia Amarilla,106,4402,si,bolsa 4 litros,,,,,,,,
MAN10L120,Mango,45,1959,si,bolsa 10 litros|bolsa 45 litros|bolsa 6 litros,,,,,,,,
MAU30L170,Maple Australiano,1,0,no,bolsa 30 litros,,,,,,,,
MCA10L120,Mandarina Calamondi,5,544,si,bolsa 10 litros|bolsa 20 litros,,,,,,,,
MCJ03L077,Manzana California,48,360,si,bolsa 3 litros,,,,,,,,
MCO10L120,Mandarina Concua,8,642,si,bolsa 10 litros|bolsa 45 litros,,,,,,,,
MEM45L200,Membrillo,1,0,no,bolsa 45 litros,,,,,,,,
MEN04P009,Menta,59,665,si,maceta negra 4 pulgadas,,,,,,,,
MEZ02L113,Mezquite Mexicano,74,70,no,bolsa 2 litros,,,,,,,,
MEZ10L006,Mezquite,24,194,no,bolsa 10 litros,,,,,,,,
MGO04L077,Manzana Golden,10,312,si,bolsa 4 litros,,,,,,,,
MIR03L119,Mirto,37,3525,si,bolsa 3 litros|bolsa 1 litros,,,,,,,,
MJA60L170,Maple Japones,1,10,no,bolsa 60 litros,,,,,,,,
MON01L006,Moneda,50,6494,si,bolsa 1 litros,,,,,,,,
MON05P130,Monalisa,134,390,si,maceta negra 5 pulgadas,,,,,,,,
MPI10L120,Mandarina Piñatera,6,906,si,bolsa 10 litros|bolsa 45 litros|bolsa 60 litros,,,,,,,,
MRE10L120,Mandarina Reyna,5,489,si,bolsa 10 litros,,,,,,,,
MRO03L077,Manzana Red Delicius,80,899,si,bolsa 3 litros,,,,,,,,
MST10L120,Mandarina Sangre De Toro,36,4,no,bolsa 10 litros,,,,,,,,
MTA10L120,Mandarina Tangerina,4,322,si,bolsa 10 litros|bolsa 60 litros,,,,,,,,
MUI01L125,Muicle,16,565,si,bolsa 1 litros,,,,,,,,
MVE04L077,Manzana Verde,19,40,no,bolsa 4 litros,,,,,,,,
NAN03L116,Nanche,8,154,no,bolsa 3 litros|bolsa 4 litros,,,,,,,,
NAN15L006,Nandina,74,697,si,bolsa 15 litros,,,,,,,,
NBR04P126,Neon Break,8,5,no,maceta negra 4 pulgadas|maceta negra 6 pulgadas,,,,,,,,
NBU07P159,Noche Buena,1,176,no,maceta negra 7 pulgadas,,,,,,,,
NCA20L013,Naranja Calamondi,5,20,no,bolsa 20 litros,,,,,,,,
NCP08L077,Nogal Cascara De Papel,28,132,no,bolsa 8 litros,,,,,,,,
NCP45L152,Nuez Cascara De Papel,1,0,no,bolsa 45 litros,,,,,,,,
NEE10L115,Neem,15,20,no,bolsa 10 litros,,,,,,,,
NEN10P134,Nenunfares,1,11,no,maceta negra 10 pulgadas,,,,,,,,
NIS60L105,Nispero,2,41,no,bolsa 60 litros,,,,,,,,
NMI10L120,Naranja Miniola,13,87,no,bolsa 10 litros,,,,,,,,
NMO01L125,No Me Olvides,10,693,si,bolsa 1 litros,,,,,,,,
NPA04L006,Nevando En Paris Bco,103,100,no,bolsa 4 litros,,,,,,,,
NUT01L154,Nutrimento Para Orq.,2,11,no,bolsa 1 litros,,,,,,,,
NWA10L013,Naranja Washintonia Red,11,24,no,bolsa 10 litros,,,,,,,,
OAR03L113,Orquidea De Arbol,144,182,no,bolsa 3 litros|bolsa 20 litros|bolsa 65 litros,,,,,,,,
OFR20L108,Olivo De Fruta,39,41,no,bolsa 20 litros|bolsa 4 litros|bolsa 45 litros|bolsa 10 litros,,,,,,,,
ONE60L006,Olivo Negro,1,11,no,bolsa 60 litros,,,,,,,,
OPH06P003,Orquidea Phalenopsis,20,648,si,maceta negra 6 pulgadas,,,,,,,,
OPU06L124,Opuntia,56,159,no,bolsa 6 litros,,,,,,,,
ORE01L125,Oregano,5,1079,si,bolsa 1 litros|maceta negra 11 pulgadas,,,,,,,,
OVI02L010,Oro Viejo,79,344,si,bolsa 2 litros,,,,,,,,
PAB10L009,Palma Abanico,39,78,no,bolsa 10 litros,,,,,,,,
PAC08P001,Pachypodium,29,32,no,maceta negra 8 pulgadas|bolsa 30 litros|maceta negra 14 pulgadas,,,,,,,,
PAC45L153,Pachyra,5,5,no,bolsa 45 litros,,,,,,,,
PAK06P010,Paquistaqui,105,5971,si,maceta negra 6 pulgadas|bolsa 8 litros,,,,,,,,
PAM60L006,Pampagras,6,114,no,bolsa 60 litros,,,,,,,,
PAN30L011,Pandanus,11,55,no,bolsa 30 litros|maceta negra 11 pulgadas,,,,,,,,
PAP01L116,Papaya,12,19,no,bolsa 1 litros,,,,,,,,
PAP30L105,Papaya Maradol,37,116,no,bolsa 30 litros,,,,,,,,
PAR06L200,Palma Areka,50,449,si,bolsa 6 litros|bolsa 10 litros|bolsa 60 litros,,,,,,,,
PAR50L129,Parota,1,5,no,bolsa 50 litros,,,,,,,,
PAZ03L006,Plumbago Blanco,147,5420,si,bolsa 3 litros|bolsa 6 litros,,,,,,,,
PAZ03L009,Plumbago Azul,3,1458,si,bolsa 3 litros|bolsa 20 litros,,,,,,,,
PBA10L006,Palma Bambu,2,159,no,bolsa 10 litros,,,,,,,,
PBI30L077,Palma Bismarquia,4,51,no,bolsa 30 litros,,,,,,,,
PBL12L010,Palo Blanco,50,0,no,bolsa 12 litros,,,,,,,,
PBR07P077,Palo De Brasil,5,345,si,maceta negra 7 pulgadas|maceta negra 6 pulgadas|maceta negra 5 pulgadas|maceta negra 8 pulgadas|bolsa 4 litros|bolsa 20 litros|bolsa 1 litros|bolsa 6 litros|bolsa 8 litros|maceta negra 9 pulgadas,,,,,,,,
PED04L011,Pedilantus,98,3797,si,bolsa 4 litros|bolsa 10 litros|bolsa 20 litros,,,,,,,,
PCA06P006,Palma Camedor,155,3164,si,maceta negra 6 pulgadas|bolsa 6 litros|bolsa 20 litros|maceta negra 5 pulgadas,,,,,,,,
PCA06P001,Pasto Canguro,39,1569,si,maceta negra 6 pulgadas,,,,,,,,
PCI20L006,Palma Cica Dion Spinolosum,7,4,no,bolsa 20 litros,,,,,,,,
PCO01L125,Pasto Coreano,13,781,si,bolsa 1 litros,,,,,,,,
PCO11P001,Philodendro Congo,49,499,si,maceta negra 11 pulgadas|maceta negra 6 pulgadas,,,,,,,,
PCO08L011,Palma Coco Comun,4,2220,si,bolsa 8 litros,,,,,,,,
PCP20L009,Palma Coco Plumoso,6,195,no,bolsa 20 litros|bolsa 60 litros|bolsa 8 litros,,,,,,,,
PCR04L116,Palma Crepe,20,74,no,bolsa 4 litros,,,,,,,,
PCZ18L010,Palma Cola De Zorro,32,6,no,bolsa 18 litros,,,,,,,,
PDA04L151,Palma Datilera,8,12,no,bolsa 4 litros|bolsa 15 litros|bolsa 45 litros,,,,,,,,
PDO20L009,Platano Dominico,1,32,no,bolsa 20 litros,,,,,,,,
PDU08L129,Palo Dulce,12,82,no,bolsa 8 litros,,,,,,,,
PEL10P109,Peluca,10,798,si,maceta negra 10 pulgadas,,,,,,,,
PEN01L125,Pensamiento,7,337,si,bolsa 1 litros,,,,,,,,
PEP06P109,Peperonia,51,5042,si,maceta negra 6 pulgadas|maceta negra 5 pulgadas|maceta negra 4 pulgadas,,,,,,,,
PER10L153,Peregrina,20,231,si,bolsa 10 litros,,,,,,,,
PES08L077,Palma Estrella,2,298,si,bolsa 8 litros,,,,,,,,
PFI01L125,Pasto Fistuca,89,3947,si,bolsa 1 litros,,,,,,,,
PFR10L077,Piñon De Fruta,2,132,no,bolsa 10 litros,,,,,,,,
PGO80L129,Pimienta Gorda,1,0,no,bolsa 80 litros,,,,,,,,
PHI05P011,Philodendro,61,39,no,maceta negra 5 pulgadas,,,,,,,,
PHO20L120,Philodendro Hope,6,708,si,bolsa 20 litros|bolsa 6 litros,,,,,,,,
PHO10L006,Photinea,66,270,si,bolsa 10 litros,,,,,,,,
PIM06P106,Philodendro Imperial Rojo,19,264,si,maceta negra 6 pulgadas,,,,,,,,
PIN12L006,Piñanona,63,3483,si,bolsa 12 litros|bolsa 15 litros|bolsa 6 litros|bolsa 2 litros|bolsa 4 litros|bolsa 30 litros|bolsa 10 litros|bolsa 20 litros|maceta negra 7 pulgadas,,,,,,,,
PIN10L009,Piña,28,885,si,bolsa 10 litros,,,,,,,,
PIN45L009,Piña Ornamental,2,7,no,bolsa 45 litros,,,,,,,,
PKE45L077,Palma Kerpiz,2,79,no,bolsa 45 litros|bolsa 20 litros|bolsa 8 litros,,,,,,,,
PLA03L151,Platanillo,44,5152,si,bolsa 3 litros,,,,,,,,
PLI04L200,Palma Licuala,30,30,no,bolsa 4 litros,,,,,,,,
PLR02L105,Pasto Liriope Rayado,67,8788,si,bolsa 2 litros|bolsa 7 litros|bolsa 6 litros,,,,,,,,
PLT15P009,Papiro Litlle Tut,1,45,no,maceta negra 15 pulgadas,,,,,,,,
PLU04L009,Plumifero,21,102,no,bolsa 4 litros,,,,,,,,
PLU08L009,Plumero,4,1580,si,bolsa 8 litros,,,,,,,,
PLU10L006,Plumeria,1,82,no,bolsa 10 litros,,,,,,,,
PLV02L105,Pasto Liriope Verde,55,2687,si,bolsa 2 litros|bolsa 8 litros|bolsa 6 litros,,,,,,,,
PMA03L077,Pera Mantequilla,39,648,si,bolsa 3 litros,,,,,,,,
PMA06L009,Platano Macho,59,44,no,bolsa 6 litros,,,,,,,,
PMO01L105,Pasto Monki,30,18830,si,bolsa 1 litros,,,,,,,,
POD80L006,Podocarpus,3,223,si,bolsa 80 litros|bolsa 20 litros,,,,,,,,
PVE30L006,Podocarpus Verde,1,66,no,bolsa 30 litros|bolsa 45 litros,,,,,,,,
POL06L115,Polyalthia,1,1,no,bolsa 6 litros|bolsa 15 litros,,,,,,,,
PON05P134,Pontederia,6,196,no,maceta negra 5 pulgadas,,,,,,,,
POR03P126,Porpusurum,6,0,no,maceta negra 3 pulgadas,,,,,,,,
POX06P134,Pasto Oxigenado,3,49,no,maceta negra 6 pulgadas,,,,,,,,
PPR02L200,Pasto Penicetum Rojo,50,1723,si,bolsa 2 litros,,,,,,,,
PPT03P126,Pink Ptrumper,11,20,no,maceta negra 3 pulgadas,,,,,,,,
PPV02L200,Pasto Penicetum Verde,30,11042,si,bolsa 2 litros,,,,,,,,
PRA10L011,Palma Rafiz,14,852,si,bolsa 10 litros|maceta negra 10 pulgadas,,,,,,,,
PRE07P109,Philodendro Red,8,421,si,maceta negra 7 pulgadas,,,,,,,,
PRE20L117,Palma Real,10,4,no,bolsa 20 litros,,,,,,,,
PRI80L140,Primavera Rosa,1,51,no,bolsa 80 litros,,,,,,,,
PRO30L105,Palma Robelina,8,518,si,bolsa 30 litros|bolsa 5 litros|bolsa 3 litros|bolsa 45 litros|bolsa 10 litros|bolsa 15 litros,,,,,,,,
PRO30L129,Papelillo Rojo,3,1,no,bolsa 30 litros|bolsa 45 litros,,,,,,,,
PSE08L001,Philodendro Sellum,59,14042,si,bolsa 8 litros|bolsa 10 litros|bolsa 15 litros|bolsa 20 litros|bolsa 6 litros|maceta negra 6 pulgadas|bolsa 12 litros|maceta negra 10 pulgadas,,,,,,,,
PSI07P109,Philodendro Silvia,15,25,no,maceta negra 7 pulgadas,,,,,,,,
PTW02L009,Pasto Twister,80,219,si,bolsa 2 litros,,,,,,,,
PVE08P109,Philodendro Verde,9,274,si,maceta negra 8 pulgadas|maceta negra 3 pulgadas,,,,,,,,
PVI06P001,Philodendro Virking,9,658,si,maceta negra 6 pulgadas|maceta negra 8 pulgadas,,,,,,,,
PVI60L120,Palma Del Viajero,3,107,no,bolsa 60 litros,,,,,,,,
PWA60L105,Palma Washingtonia,2,18,no,bolsa 60 litros,,,,,,,,
PXA08L006,Philodendro Xanadu,58,19889,si,bolsa 8 litros|bolsa 30 litros|bolsa 15 litros|maceta negra 10 pulgadas|bolsa 20 litros|bolsa 45 litros,,,,,,,,
PZA07P003,Palma Zamioculca,23,139,no,maceta negra 7 pulgadas|maceta negra 8 pulgadas,,,,,,,,
PZA20L105,Palma Zamia,2,11,no,bolsa 20 litros|bolsa 60 litros|maceta negra 8 pulgadas,,,,,,,,
QUI20L006,Quisqualis,9,62,no,bolsa 20 litros,,,,,,,,
RCO02L167,Rosa Coster,207,1258,si,bolsa 2 litros|bolsa 6 litros,,,,,,,,
RCO05P003,Rosario Colgante,41,16,no,maceta negra 5 pulgadas,,,,,,,,
RDO40L145,Rosa Dorada,1,10,no,bolsa 40 litros,,,,,,,,
REA01L149,Rea Tricolor,60,440,si,bolsa 1 litros,,,,,,,,
RIN01L011,Rinonina,83,19070,si,bolsa 1 litros,,,,,,,,
RNU08L169,Romero De Nuez,44,406,si,bolsa 8 litros|bolsa 2 litros,,,,,,,,
ROC01L125,Rocio,67,6329,si,bolsa 1 litros,,,,,,,,
ROM02L119,Romero,20,9717,si,bolsa 2 litros|bolsa 10 litros|bolsa 8 litros|bolsa 3 litros,,,,,,,,
ROS03L167,Rosal,9,343,si,bolsa 3 litros|bolsa 2 litros,,,,,,,,
RRA08L120,Romero Rastrero,55,5,no,bolsa 8 litros,,,,,,,,
SAB11P170,Sabila Reyna,19,590,si,maceta negra 11 pulgadas,,,,,,,,
SAL02L119,Salvia Leucanta,19,10320,si,bolsa 2 litros,,,,,,,,
SAN03L105,Sanciviera,72,4957,si,bolsa 3 litros|bolsa 4 litros|maceta negra 6 pulgadas|maceta negra 5 pulgadas,,,,,,,,
SAP06P009,Sapito,30,434,si,maceta negra 6 pulgadas,,,,,,,,
SCO01L125,Salvia Comestible,5,670,si,bolsa 1 litros|bolsa 2 litros,,,,,,,,
SED06P003,Sedum  Reflexon,57,2017,si,maceta negra 6 pulgadas,,,,,,,,
SEN10L009,Senna Alata,39,1065,si,bolsa 10 litros,,,,,,,,
SIC02L113,Sicomoro,65,22,no,bolsa 2 litros,,,,,,,,
SPI06P006,Singonio,21,3739,si,maceta negra 6 pulgadas|maceta negra 8 pulgadas|bolsa 2 litros|maceta negra 11 pulgadas|maceta negra 5 pulgadas,,,,,,,,
SLI45L105,Sangre Libaneza,4,4,no,bolsa 45 litros,,,,,,,,
SLL15L077,Sauce Lloron,4,237,si,bolsa 15 litros|bolsa 4 litros,,,,,,,,
SNI45L009,Stirilitzia Nicolae,18,83,no,bolsa 45 litros|bolsa 30 litros,,,,,,,,
SOC04P126,Socialis,12,9,no,maceta negra 4 pulgadas,,,,,,,,
SPI03L153,Spirea Bca/Rosa,24,71,no,bolsa 3 litros,,,,,,,,
SPI10L153,Spirea Bca,18,481,si,bolsa 10 litros,,,,,,,,
SUC03P126,Suculenta,223,588,si,maceta negra 3 pulgadas|maceta negra 6 pulgadas|maceta negra 8 pulgadas|maceta negra 4 pulgadas|maceta negra 1 pulgadas|maceta negra 2 pulgadas,,,,,,,,
SVI01L125,Siempre Viva,24,330,si,bolsa 1 litros,,,,,,,,
TAB04L129,Tabachin Silvestre,119,2854,si,bolsa 4 litros,,,,,,,,
TAB60L003,Tabachin,3,79,no,bolsa 60 litros|bolsa 7 litros|bolsa 20 litros|bolsa 30 litros|bolsa 80 litros,,,,,,,,
TAF03L077,Tulipan Africano,13,178,no,bolsa 3 litros|bolsa 12 litros|bolsa 40 litros|bolsa 45 litros,,,,,,,,
TAM04L010,Tamarindo,27,33,no,bolsa 4 litros,,,,,,,,
TAM30L125,Tamarix,8,0,no,bolsa 30 litros,,,,,,,,
TAR08L077,Trueno De Arbol,35,141,no,bolsa 8 litros,,,,,,,,
TRA10P003,Tradescantia,46,2158,si,maceta negra 10 pulgadas|maceta negra 6 pulgadas,,,,,,,,
TEC20L129,Tecoma,7,1276,si,bolsa 20 litros|bolsa 60 litros|bolsa 12 litros,,,,,,,,
TEJ04L077,Tejocote,12,124,no,bolsa 4 litros,,,,,,,,
TEL10P006,Telefono,61,1868,si,maceta negra 10 pulgadas|maceta negra 6 pulgadas,,,,,,,,
THE80L145,Thevetia,4,0,no,bolsa 80 litros,,,,,,,,
THI60L145,Tabebuia Hippie-1650 (Guayacan,2,1,no,bolsa 60 litros,,,,,,,,
TLI07L128,Te Limon,3,167,no,bolsa 7 litros,,,,,,,,
TOR01L125,Toronjil,20,1412,si,bolsa 1 litros,,,,,,,,
TOR10L013,Toronja Sangria,19,1,no,bolsa 10 litros,,,,,,,,
TPA10P006,Telefono Panda,24,335,si,maceta negra 10 pulgadas,,,,,,,,
TTE03L112,Trueno Texano,23,121,no,bolsa 3 litros,,,,,,,,
TUL04L010,Tulipan Arcoiris,53,1569,si,bolsa 4 litros,,,,,,,,
TUL04L164,Tulipan,180,2248,si,bolsa 4 litros,,,,,,,,
TUL10P134,Tule,1,1,no,maceta negra 10 pulgadas,,,,,,,,
TUL20L132,Tulia,11,3,no,bolsa 20 litros,,,,,,,,
TUL30L013,Tulia Dorada,22,9,no,bolsa 30 litros,,,,,,,,
TUL60L170,Tulipan De La India Ama,9,14,no,bolsa 60 litros,,,,,,,,
USE06P127,Uña De Señorita,52,2928,si,maceta negra 6 pulgadas,,,,,,,,
UVA08L077,Uva De Mar,5,2195,si,bolsa 8 litros,,,,,,,,
VIT10L010,Vitex,31,2486,si,bolsa 10 litros|bolsa 2 litros|bolsa 20 litros|bolsa 15 litros,,,,,,,,
VAF04P003,Violeta Africana,13,3024,si,maceta negra 4 pulgadas,,,,,,,,
VAL10L153,Valeriana,33,188,no,bolsa 10 litros|bolsa 15 litros,,,,,,,,
VER01L124,Veronica Morada,18,333,si,bolsa 1 litros,,,,,,,,
VER01L125,Verbena,8,98,no,bolsa 1 litros,,,,,,,,
VIN06P109,Vinca,50,1177,si,maceta negra 6 pulgadas|bolsa 1 litros,,,,,,,,
VSU03L105,Viburnio,48,1093,si,bolsa 3 litros|bolsa 30 litros|bolsa 20 litros|bolsa 15 litros,,,,,,,,
VRE03P126,Vampire Red,9,23,no,maceta negra 3 pulgadas,,,,,,,,
WIS12P130,Wisteria,4,36,no,maceta negra 12 pulgadas,,,,,,,,
YUC15L170,Yuca,5,1,no,bolsa 15 litros,,,,,,,,
ZAM45L152,Zapote Amarillo,1,1,no,bolsa 45 litros,,,,,,,,
ZAP04L115,Zapote Negro,10,0,no,bolsa 4 litros,,,,,,,,
ZAR05L130,Zarzamora,44,2868,si,bolsa 5 litros,,,,,,,,
